year;rank;game;genre;is_indie
2020;Platinum;Grounded;Action;False
2020;Platinum;Grounded;Adventure;False
2020;Platinum;Wolcen: Lords of Mayhem;Action;True
2020;Platinum;Wolcen: Lords of Mayhem;Adventure;True
2020;Platinum;Wolcen: Lords of Mayhem;Indie;True
2020;Platinum;Wolcen: Lords of Mayhem;RPG;True
2020;Platinum;The Outer Worlds;RPG;False
2020;Platinum;Microsoft Flight Simulator 40th Anniversary Edition;Simulation;False
2020;Platinum;Persona 4 Golden;RPG;False
2020;Platinum;Sea of Thieves 2023 Edition;Action;False
2020;Platinum;Sea of Thieves 2023 Edition;Adventure;False
2020;Platinum;Half-Life: Alyx;Action;False
2020;Platinum;Half-Life: Alyx;Adventure;False
2020;Platinum;Baldur's Gate 3;Adventure;False
2020;Platinum;Baldur's Gate 3;RPG;False
2020;Platinum;Baldur's Gate 3;Strategy;False
2020;Platinum;Command & Conquer™ Remastered Collection;Strategy;False
2020;Platinum;Marvel's Avengers - The Definitive Edition;Action;False
2020;Platinum;Marvel's Avengers - The Definitive Edition;Adventure;False
2020;Platinum;Marvel's Avengers - The Definitive Edition;RPG;False
2020;Platinum;Fall Guys;Action;True
2020;Platinum;Fall Guys;Casual;True
2020;Platinum;Fall Guys;Indie;True
2020;Platinum;Fall Guys;Massively Multiplayer;True
2020;Platinum;Fall Guys;Sports;True
2020;Platinum;DRAGON BALL Z: KAKAROT;Action;False
2020;Platinum;DRAGON BALL Z: KAKAROT;RPG;False
2020;Platinum;Mount & Blade II: Bannerlord;Action;True
2020;Platinum;Mount & Blade II: Bannerlord;Indie;True
2020;Platinum;Mount & Blade II: Bannerlord;RPG;True
2020;Platinum;Mount & Blade II: Bannerlord;Simulation;True
2020;Platinum;Mount & Blade II: Bannerlord;Strategy;True
2020;Platinum;Temtem;Adventure;True
2020;Platinum;Temtem;Indie;True
2020;Platinum;Temtem;Massively Multiplayer;True
2020;Platinum;Temtem;RPG;True
2020;Platinum;DOOM Eternal;Action;False
2020;Platinum;Borderlands 3;Action;False
2020;Platinum;Borderlands 3;RPG;False
2020;Platinum;Crusader Kings III;RPG;False
2020;Platinum;Crusader Kings III;Simulation;False
2020;Platinum;Crusader Kings III;Strategy;False
2020;Platinum;Horizon Zero Dawn™ Complete Edition;Action;False
2020;Platinum;Horizon Zero Dawn™ Complete Edition;Adventure;False
2020;Platinum;Horizon Zero Dawn™ Complete Edition;RPG;False
2020;Platinum;Mafia: Definitive Edition;Action;False
2020;Platinum;Mafia: Definitive Edition;Adventure;False
2020;Platinum;STAR WARS™: Squadrons;Action;False
2020;Platinum;STAR WARS™: Squadrons;Simulation;False
2020;Platinum;EA SPORTS™ FIFA 21;Simulation;False
2020;Platinum;EA SPORTS™ FIFA 21;Sports;False
2020;Platinum;Resident Evil 3;Action;False
2020;Platinum;Cyberpunk 2077;RPG;False
2021;Platinum;Resident Evil Village;Action;False
2021;Platinum;New World;Action;False
2021;Platinum;New World;Adventure;False
2021;Platinum;New World;Massively Multiplayer;False
2021;Platinum;New World;RPG;False
2021;Platinum;Age of Empires IV: Anniversary Edition;Strategy;False
2021;Platinum;Battlefield™ 2042;Action;False
2021;Platinum;Battlefield™ 2042;Adventure;False
2021;Platinum;Battlefield™ 2042;Casual;False
2021;Platinum;NARAKA: BLADEPOINT;Action;False
2021;Platinum;NARAKA: BLADEPOINT;Adventure;False
2021;Platinum;NARAKA: BLADEPOINT;Massively Multiplayer;False
2021;Platinum;OUTRIDERS;Action;False
2021;Platinum;OUTRIDERS;Adventure;False
2021;Platinum;OUTRIDERS;RPG;False
